# _tick,_time,frames,mean_episode_return_0,loss_0
238,1760608153.5828812,761600,-0.09589862078428268,0.7937164902687073
239,1760608154.3712013,764800,-0.09578210860490799,0.780239999294281
240,1760608155.215491,768000,-0.09585394710302353,0.8005017042160034
241,1760608155.8137534,771200,-0.09590165317058563,0.7719606161117554
242,1760608156.4324496,774400,-0.09637977927923203,0.7967609167098999
243,1760608157.2446158,777600,-0.09610956907272339,0.8177822828292847
244,1760608157.8871253,780800,-0.09487062692642212,0.8045445084571838
245,1760608158.4169507,784000,-0.09490486234426498,0.8054534196853638
246,1760608158.9845712,787200,-0.09487108886241913,0.7939726114273071
247,1760608159.6309116,790400,-0.09484159201383591,0.7961392998695374
248,1760608160.3121235,793600,-0.0950508564710617,0.7856833934783936
249,1760608161.0133095,796800,-0.09504628926515579,0.8094481825828552
250,1760608161.7371266,800000,-0.09533954411745071,0.8104188442230225
251,1760608162.3888154,803200,-0.09531967341899872,0.8066491484642029
252,1760608163.1507494,806400,-0.09558276832103729,0.7947567701339722
253,1760608163.722561,809600,-0.09511150419712067,0.8006406426429749
254,1760608164.3192382,812800,-0.09532146155834198,0.8118815422058105
255,1760608164.9763963,816000,-0.09551889449357986,0.7851666808128357
256,1760608165.6020048,819200,-0.09586166590452194,0.796923816204071
257,1760608166.1559463,822400,-0.09540355950593948,0.8191137909889221
258,1760608166.8786883,825600,-0.09576668590307236,0.7993032336235046
259,1760608167.6705387,828800,-0.09529086947441101,0.804034948348999
260,1760608168.4172525,832000,-0.09525905549526215,0.8141711354255676
261,1760608169.0260932,835200,-0.09496083855628967,0.8012100458145142
262,1760608169.7492006,838400,-0.09476950019598007,0.8512207865715027
263,1760608169.6544676,841600,-0.09492580592632294,0.7857117652893066
264,1760608170.242209,844800,-0.0932004451751709,0.8050366044044495
265,1760608170.9019728,848000,-0.09272343665361404,0.7982796430587769
266,1760608171.4922407,851200,-0.09250359237194061,0.7904870510101318
267,1760608172.221501,854400,-0.09204909950494766,0.7703235149383545
268,1760608172.7160196,857600,-0.09207416325807571,0.7736627459526062
269,1760608173.5287929,860800,-0.09159499406814575,0.810940146446228
270,1760608174.1357093,864000,-0.09172060340642929,0.8017488121986389
271,1760608174.8915126,867200,-0.09161052107810974,0.776416540145874
272,1760608175.6442044,870400,-0.0914112776517868,0.7773956060409546
273,1760608176.2512536,873600,-0.09143068641424179,0.7757379412651062
274,1760608176.975708,876800,-0.09206857532262802,0.785342812538147
275,1760608177.7434924,880000,-0.09206847846508026,0.7905442714691162
276,1760608178.4024174,883200,-0.09225501865148544,0.7694531083106995
277,1760608178.9909256,886400,-0.09233853965997696,0.7790043354034424
278,1760608179.8529384,889600,-0.09230171144008636,0.8208047747612
279,1760608180.578642,892800,-0.09189052879810333,0.8114798665046692
280,1760608181.4871843,896000,-0.09133072197437286,0.826674222946167
281,1760608182.340935,899200,-0.09146031737327576,0.7698922753334045
282,1760608182.9748256,902400,-0.09110699594020844,0.7749535441398621
283,1760608183.5818088,905600,-0.09086241573095322,0.7909358739852905
284,1760608184.3211956,908800,-0.0907178521156311,0.7823954224586487
285,1760608184.8851235,912000,-0.09168503433465958,0.8112860321998596
286,1760608185.4818451,915200,-0.09201713651418686,0.7970502376556396
287,1760608186.0040116,918400,-0.09175369888544083,0.7898819446563721
288,1760608186.7406278,921600,-0.0912749394774437,0.8010703921318054
289,1760608187.3205523,924800,-0.09120148420333862,0.7964717745780945
290,1760608187.8724637,928000,-0.09096145629882812,0.7972447872161865
291,1760608188.6192684,931200,-0.09072718024253845,0.8078148365020752
292,1760608189.169198,934400,-0.09016432613134384,0.7850014567375183
293,1760608189.7972598,937600,-0.08980447798967361,0.7970228791236877
294,1760608190.5861843,940800,-0.08961889147758484,0.7907360792160034
295,1760608191.1868372,944000,-0.0893464982509613,0.769741415977478
296,1760608191.9364073,947200,-0.08938223868608475,0.7795963287353516
297,1760608192.690186,950400,-0.08957087248563766,0.7440041303634644
298,1760608193.4070265,953600,-0.08909431099891663,0.7848202586174011
299,1760608194.0640855,956800,-0.08899941295385361,0.780819296836853
300,1760608194.6446407,960000,-0.08912191540002823,0.7804996967315674
301,1760608195.2344737,963200,-0.0888584703207016,0.8134738802909851
302,1760608196.029978,966400,-0.08947368711233139,0.7696822881698608
303,1760608196.65438,969600,-0.08957917243242264,0.8029384016990662
304,1760608197.3743744,972800,-0.0893598273396492,0.789229154586792
305,1760608198.0619724,976000,-0.08953239768743515,0.8003185391426086
306,1760608198.8046403,979200,-0.08873343467712402,0.7999101877212524
307,1760608199.504854,982400,-0.08891220390796661,0.8074645400047302
308,1760608200.207129,985600,-0.08855004608631134,0.8117618560791016
309,1760608200.8895316,988800,-0.08683084696531296,0.8131656646728516
310,1760608201.7172086,992000,-0.0861395001411438,0.8137901425361633
311,1760608201.6131842,995200,-0.08658163249492645,0.7938676476478577
312,1760608202.344726,998400,-0.08662548661231995,0.7807884216308594
313,1760608202.9435534,1001600,-0.08658521622419357,0.7702491283416748
314,1760608203.555853,1004800,-0.08614084124565125,0.7834832072257996
315,1760608204.2095585,1008000,-0.08587378263473511,0.7734116911888123
316,1760608205.0554183,1011200,-0.08580255508422852,0.793937623500824
317,1760608205.6625154,1014400,-0.08554743975400925,0.771510899066925
318,1760608206.488489,1017600,-0.08541396260261536,0.7888578772544861
319,1760608207.3400612,1020800,-0.08453667908906937,0.7954603433609009
320,1760608208.0295477,1024000,-0.08441253751516342,0.7880022525787354
321,1760608208.7665467,1027200,-0.08403472602367401,0.7994858622550964
